Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.c,3,46,4,255,2194,442,8,8,10,3,52,3,31,4,,,,0,,,,,,36,,,,,,,,,,,,,,2798,162,1124,94,850,252,1103,278,,,,568,864,83,4,777,,,,,,57,57,78,25,,,6,,,0.22,292,276,355,123
File,"/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.h",/home/cert/metrics/dos2unix/dos2unix-7.2.2/common.h,0,0,0,34,234,82,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,320,32,54,55,0,73,52,168,,,,44,44,44,0,0,,,,,,0,0,0,0,,,0,,,1.35,0,0,0,0
File,"/home/cert/metrics/dos2unix/dos2unix-7.2.2/dos2unix.c",/home/cert/metrics/dos2unix/dos2unix-7.2.2/dos2unix.c,5,71,15,35,459,168,14,11,18,9,81,5,57,13,,,,0,,,,,,4,,,,,,,,,,,,,,601,30,228,17,169,124,226,38,,,,111,168,17,1,150,,,,,,40,30,56,27,,,6,,,0.54,55,45,73,39
File,"/home/cert/metrics/dos2unix/dos2unix-7.2.2/dos2unix.h",/home/cert/metrics/dos2unix/dos2unix-7.2.2/dos2unix.h,0,0,0,22,161,41,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,224,5,1,1,0,26,185,7,,,,1,1,1,0,0,,,,,,0,0,0,0,,,0,,,26.00,0,0,0,0
File,"/home/cert/metrics/dos2unix/dos2unix-7.2.2/querycp.c",/home/cert/metrics/dos2unix/dos2unix-7.2.2/querycp.c,0,3,0,42,102,83,1,1,1,1,3,0,3,0,,,,0,,,,,,1,,,,,,,,,,,,,,196,4,3,1,1,6,177,24,,,,1,2,1,0,1,,,,,,1,1,1,1,,,0,,,2.00,1,1,1,1
File,"/home/cert/metrics/dos2unix/dos2unix-7.2.2/querycp.h",/home/cert/metrics/dos2unix/dos2unix-7.2.2/querycp.h,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,3,1,1,1,0,1,0,0,,,,1,1,1,0,0,,,,,,0,0,0,0,,,0,,,1.00,0,0,0,0
File,"/home/cert/metrics/dos2unix/dos2unix-7.2.2/test/setlocale.c",/home/cert/metrics/dos2unix/dos2unix-7.2.2/test/setlocale.c,7,19,6,16,39,37,1,1,1,1,29,7,19,6,,,,0,,,,,,1,,,,,,,,,,,,,,89,16,35,7,25,37,0,4,,,,28,30,7,0,23,,,,,,1,1,1,1,,,0,,,1.06,1,1,1,1
File,"/home/cert/metrics/dos2unix/dos2unix-7.2.2/test/testu16.c",/home/cert/metrics/dos2unix/dos2unix-7.2.2/test/testu16.c,5,11,3,7,15,9,1,1,1,1,19,5,11,3,,,,0,,,,,,1,,,,,,,,,,,,,,31,7,11,2,8,9,0,4,,,,9,10,2,0,8,,,,,,1,1,1,1,,,0,,,0.82,1,1,1,1
File,"/home/cert/metrics/dos2unix/dos2unix-7.2.2/test/wcstombs_test.c",/home/cert/metrics/dos2unix/dos2unix-7.2.2/test/wcstombs_test.c,6,22,2,7,28,2,4,4,4,1,29,6,22,2,,,,0,,,,,,1,,,,,,,,,,,,,,36,7,22,5,16,2,0,6,,,,19,23,5,0,18,,,,,,4,4,4,1,,,2,,,0.09,4,4,4,1
File,"/home/cert/metrics/dos2unix/dos2unix-7.2.2/unix2dos.c",/home/cert/metrics/dos2unix/dos2unix-7.2.2/unix2dos.c,5,70,15,33,457,152,14,11,18,9,80,4,57,13,,,,0,,,,,,4,,,,,,,,,,,,,,574,28,227,16,173,109,221,38,,,,114,170,16,1,153,,,,,,44,34,60,30,,,6,,,0.48,54,44,73,37
File,"/home/cert/metrics/dos2unix/dos2unix-7.2.2/unix2dos.h",/home/cert/metrics/dos2unix/dos2unix-7.2.2/unix2dos.h,0,0,0,21,161,41,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,223,21,153,153,152,41,1,7,,,,9,9,9,0,0,,,,,,0,0,0,0,,,0,,,0.27,0,0,0,0
File,"/home/cert/metrics/dos2unix-7.2.2/sandbox/chown/chown.c",/home/cert/metrics/dos2unix-7.2.2/sandbox/chown/chown.c,3,13,1,11,51,6,4,4,4,3,17,3,13,1,,,,0,,,,,,1,,,,,,,,,,,,,,68,11,51,31,20,6,0,0,,,,37,74,64,0,10,,,,,,4,4,4,3,,,1,,,0.12,4,4,4,3
File,"/home/cert/metrics/dos2unix-7.2.2/sandbox/symlink/get_link_target.c",/home/cert/metrics/dos2unix-7.2.2/sandbox/symlink/get_link_target.c,6,35,8,12,40,12,4,4,4,3,42,6,35,8,,,,0,,,,,,1,,,,,,,,,,,,,,57,12,35,4,23,12,0,5,,,,17,21,4,0,17,,,,,,4,4,4,3,,,1,,,0.34,4,4,4,3
Function,"AddDOSNewLine",/home/cert/metrics/dos2unix/dos2unix-7.2.2/unix2dos.c,,,,0,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,17,0,16,1,9,2,0,0,3,5,1,5,9,0,0,9,5,5,6,5,6,,,,,6,,3,6,,0.12,,,,
