File,Function Name,Line Start,Line End,Function Type
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__long_alloca_use_17.c,CWE758_Undefined_Behavior__long_alloca_use_17_good,56,59,GOOD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__long_alloca_use_17.c,CWE758_Undefined_Behavior__long_alloca_use_17_bad,20,31,BAD
CWE758_Undefined_Behavior/CWE758_Undefined_Behavior__long_alloca_use_17.c,good1,38,54,GOOD
CWE252_Unchecked_Return_Value/CWE252_Unchecked_Return_Value__wchar_t_snprintf_12.c,CWE252_Unchecked_Return_Value__wchar_t_snprintf_12_good,98,101,GOOD
CWE252_Unchecked_Return_Value/CWE252_Unchecked_Return_Value__wchar_t_snprintf_12.c,CWE252_Unchecked_Return_Value__wchar_t_snprintf_12_bad,32,59,BAD
CWE252_Unchecked_Return_Value/CWE252_Unchecked_Return_Value__wchar_t_snprintf_12.c,good1,66,96,GOOD
CWE416_Use_After_Free/CWE416_Use_After_Free__new_delete_array_wchar_t_14.cpp,goodG2B2,129,147,GOOD
CWE416_Use_After_Free/CWE416_Use_After_Free__new_delete_array_wchar_t_14.cpp,goodB2G1,52,77,GOOD
CWE416_Use_After_Free/CWE416_Use_After_Free__new_delete_array_wchar_t_14.cpp,bad,26,45,BAD
CWE416_Use_After_Free/CWE416_Use_After_Free__new_delete_array_wchar_t_14.cpp,good,149,155,GOOD
CWE416_Use_After_Free/CWE416_Use_After_Free__new_delete_array_wchar_t_14.cpp,goodB2G2,80,100,GOOD
CWE416_Use_After_Free/CWE416_Use_After_Free__new_delete_array_wchar_t_14.cpp,goodG2B1,103,126,GOOD
CWE476_NULL_Pointer_Dereference/CWE476_NULL_Pointer_Dereference__class_05.cpp,goodG2B2,134,154,GOOD
CWE476_NULL_Pointer_Dereference/CWE476_NULL_Pointer_Dereference__class_05.cpp,goodB2G1,53,79,GOOD
CWE476_NULL_Pointer_Dereference/CWE476_NULL_Pointer_Dereference__class_05.cpp,bad,31,46,BAD
CWE476_NULL_Pointer_Dereference/CWE476_NULL_Pointer_Dereference__class_05.cpp,good,156,162,GOOD
CWE476_NULL_Pointer_Dereference/CWE476_NULL_Pointer_Dereference__class_05.cpp,goodB2G2,82,103,GOOD
CWE476_NULL_Pointer_Dereference/CWE476_NULL_Pointer_Dereference__class_05.cpp,goodG2B1,106,131,GOOD
CWE775_Missing_Release_of_File_Descriptor_or_Handle/CWE775_Missing_Release_of_File_Descriptor_or_Handle__w32CreateFile_no_close_83a.cpp,bad,25,31,BAD
CWE775_Missing_Release_of_File_Descriptor_or_Handle/CWE775_Missing_Release_of_File_Descriptor_or_Handle__w32CreateFile_no_close_83a.cpp,goodB2G,38,44,GOOD
CWE775_Missing_Release_of_File_Descriptor_or_Handle/CWE775_Missing_Release_of_File_Descriptor_or_Handle__w32CreateFile_no_close_83a.cpp,good,46,49,GOOD
