File,Function Name,Line Start,Line End,Function Type
CWE762_Mismatched_Memory_Management_Routines/s07/CWE762_Mismatched_Memory_Management_Routines__new_free_struct_02.cpp,bad,25,41,BAD
CWE590_Free_Memory_Not_on_Heap/s04/CWE590_Free_Memory_Not_on_Heap__free_long_declare_06.c,CWE590_Free_Memory_Not_on_Heap__free_long_declare_06_bad,27,49,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_01.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_01_good,48,51,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_01.c,good1,36,46,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_01.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_01_bad,20,30,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_02.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_02_bad,20,33,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_02.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_02_good,76,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_02.c,good2,61,74,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_02.c,good1,40,58,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_03.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_03_good,76,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_03.c,good2,61,74,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_03.c,good1,40,58,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_03.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_03_bad,20,33,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_04.c,good2,67,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_04.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_04_bad,26,39,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_04.c,good1,46,64,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_04.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_04_good,82,86,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_05.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_05_good,82,86,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_05.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_05_bad,26,39,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_05.c,good2,67,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_05.c,good1,46,64,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_06.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_06_bad,25,38,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_06.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_06_good,81,85,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_06.c,good2,66,79,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_06.c,good1,45,63,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_07.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_07_bad,25,38,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_07.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_07_good,81,85,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_07.c,good2,66,79,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_07.c,good1,45,63,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_08.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_08_good,89,93,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_08.c,staticReturnsFalse,26,29,OTHER
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_08.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_08_bad,33,46,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_08.c,good2,74,87,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_08.c,staticReturnsTrue,21,24,OTHER
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_08.c,good1,53,71,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_09.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_09_bad,20,33,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_09.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_09_good,76,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_09.c,good2,61,74,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_09.c,good1,40,58,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_10.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_10_good,76,80,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_10.c,good2,61,74,GOOD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_10.c,CWE467_Use_of_sizeof_on_Pointer_Type__char_10_bad,20,33,BAD
CWE467_Use_of_sizeof_on_Pointer_Type/CWE467_Use_of_sizeof_on_Pointer_Type__char_10.c,good1,40,58,GOOD
