# Produced by copy-pasting the C/C++/ObjC table from this link:
# http://www.coverity.com/products/code-advisor/#CWEcoverage
# into a text file, and then using this Perl script to munge the file:
# perl -e 'my $cwe = 0; while (<>) {chomp; if (/([0-9]*)\t.*\t([A-Z._]*)/) {$_ = "| $1 | $2 |"; $cwe = $1} else {$_ = "| $cwe | $_ |";}  print "$_\n"}' cov.txt

# <legal></legal>

| Coverity Static Analysis Checker | CWE |
|----------------------------------+-----|
| ALLOC_FREE_MISMATCH              | 762 |
| ARRAY_VS_SINGLETON               | 119 |
| ASSIGN_NOT_RETURNING_STAR_THIS   | 710 |
| ATOMICITY                        | 662 |
| BAD_ALLOC_ARITHMETIC             | 119 |
| BAD_ALLOC_STRLEN                 | 131 |
| BAD_COMPARE                      | 253 |
| BAD_COMPARE                      | 597 |
| BAD_COMPARE                      | 628 |
| BAD_COMPARE                      | 783 |
| BAD_FREE                         | 590 |
| BAD_OVERRIDE                     | 710 |
| BAD_SIZEOF                       | 467 |
| BUFFER_SIZE                      | 120 |
| BUFFER_SIZE                      | 170 |
| CHAR_IO                          | 197 |
| CHECKED_RETURN                   | 252 |
| CHROOT                           | 243 |
| COM.BAD_FREE                     | 416 |
| COM.BSTR.ALLOC                   | 401 |
| COM.BSTR.ALLOC                   | 416 |
| COM.BSTR.ALLOC                   | 633 |
| COM.BSTR.CONV                    | 119 |
| CONSTANT_EXPRESSION_RESULT       | 480 |
| CONSTANT_EXPRESSION_RESULT       | 569 |
| CONSTANT_EXPRESSION_RESULT       | 783 |
| COPY_PASTE_ERROR                 | 398 |
| CTOR_DTOR_LEAK                   | 401 |
| DC.STREAM_BUFFER                 | 676 |
| DC.STRING_BUFFER                 | 676 |
| DC.WEAK_CRYPTO                   | 676 |
| DEADCODE                         | 561 |
| DELETE_ARRAY                     | 459 |
| DELETE_VOID                      | 758 |
| DIVIDE_BY_ZERO                   | 369 |
| ENUM_AS_BOOLEAN                  | 398 |
| EVALUATION_ORDER                 | 758 |
| FORWARD_NULL                     | 476 |
| HFA                              | 710 |
| IDENTICAL_BRANCHES               | 398 |
| INCOMPATIBLE_CAST                | 119 |
| INCOMPATIBLE_CAST                | 188 |
| INCOMPATIBLE_CAST                | 704 |
| INFINITE_LOOP                    | 835 |
| INTEGER_OVERFLOW                 | 119 |
| INTEGER_OVERFLOW                 | 125 |
| INTEGER_OVERFLOW                 | 190 |
| INVALIDATE_ITERATOR              | 119 |
| LOCK                             | 617 |
| LOCK                             | 667 |
| LOCK                             | 764 |
| MISMATCHED_ITERATOR              | 119 |
| MISMATCHED_ITERATOR              | 398 |
| MISRA_CAST                       | 195 |
| MISRA_CAST                       | 197 |
| MISRA_CAST                       | 681 |
| MISSING_BREAK                    | 484 |
| MISSING_COPY_OR_ASSIGN           | 710 |
| MISSING_LOCK                     | 366 |
| MISSING_RESTORE                  | 573 |
| MISSING_RETURN                   | 710 |
| MIXED_ENUMS                      | 398 |
| NEGATIVE_RETURNS                 | 129 |
| NEGATIVE_RETURNS                 | 394 |
| NEGATIVE_RETURNS                 | 606 |
| NEGATIVE_RETURNS                 | 687 |
| NESTING_INDENT_MISMATCH          | 483 |
