CWE ID,Klocwork Issue Code and Description,Checker,CERT rule,
119,ABV.ANY_SIZE_ARRAY,ABV.ITERATOR,ARR30-C. Do not form or use out-of-bounds pointers or array subscripts ,13
788,ABV.ANY_SIZE_ARRAY,ASSIGCOND.CALL,EXP45-C. Do not perform assignments in selection statements ,
805,ABV.ANY_SIZE_ARRAY,ASSIGCOND.GEN,EXP45-C. Do not perform assignments in selection statements ,
,ABV.GENERAL,Can detect violations of this rule with a number of checkers,MSC13-C. Detect and remove unused values ,
120,ABV.GENERAL,EFFECT,EXP16-C. Do not compare function pointers to constant values ,
122,ABV.GENERAL,EFFECT,MSC12-C. Detect and remove code that has no effect or is never executed ,
195,ABV.GENERAL,FNH.MIGHT,MEM34-C. Only free memory allocated dynamically ,
251,ABV.GENERAL,FNH.MUST,MEM34-C. Only free memory allocated dynamically ,
665,ABV.GENERAL,FUM.GEN.MIGHT,MEM34-C. Only free memory allocated dynamically ,
787,ABV.GENERAL,FUM.GEN.MUST,MEM34-C. Only free memory allocated dynamically ,
,ABV.GENERAL,IF_DEF_IN_HEADER_DECL,DCL36-C. Do not declare an identifier with conflicting linkage classifications ,
,ABV.GENERAL,IF_DUPL_HEADER,PRE08-C. Guarantee that header file names are unique ,
,ABV.ITERATOR,IF_MISS_DECL,DCL31-C. Declare identifiers before using them ,
,ABV.ITERATOR,IF_MULTI_DECL,DCL36-C. Do not declare an identifier with conflicting linkage classifications ,
,ABV.MEMBER,IF_MULTI_DECL,DCL01-C. Do not reuse variable names in subscopes ,
,ABV.STACK,IF_MULTI_DEF,DCL01-C. Do not reuse variable names in subscopes ,
121,ABV.STACK,IF_MULTI_KIND,DCL01-C. Do not reuse variable names in subscopes ,
,ABV.STACK,INCORRECT.ALLOC_SIZE,MEM35-C. Allocate sufficient memory for an object ,
,ABV.STACK,LA_UNUSED,MSC01-C. Strive for logical completeness ,
,ABV.STACK,LOCRET.*,DCL30-C. Declare objects with appropriate storage durations ,
