"CategoryID",Category Name,CodeSonar Class Mnemonic,CodeSonar Class Name,"RelationshipType (categoryto class)"
CWE:1,Location,ALLOC.SIZE.ADDOFLOW,"Addition Overflow of AllocationSize","hierarchyancestor"
CWE:1,Location,MISC.MEM.SIZE.ADDOFLOW,Addition Overflow of Size,"hierarchyancestor"
CWE:1,Location,LANG.STRUCT.CONDASSIG,Assignment in Conditional,"hierarchyancestor"
CWE:1,Location,"CONCURRENCY.STARVE.BLOCKING",Blocking in Critical Section,"hierarchyancestor"
CWE:1,Location,LANG.MEM.BO,Buffer Overrun,"hierarchyancestor"
CWE:1,Location,LANG.MEM.BU,Buffer Underrun,"hierarchyancestor"
CWE:1,Location,LANG.CAST.VALUE,Cast Alters Value,"hierarchyancestor"
CWE:1,Location,LANG.CAST.PC.CRCQ,Cast Removes const Qualifier,"hierarchyancestor"
CWE:1,Location,LANG.CAST.PC.CRVQ,Cast Removes volatile Qualifier,"hierarchyancestor"
CWE:1,Location,LANG.CAST.PC.AV,"Cast: Arithmetic Type/VoidPointer","hierarchyancestor"
CWE:1,Location,LANG.CAST.PC.AO,"Cast: Non-integer ArithmeticType/Object Pointer","hierarchyancestor"
CWE:1,Location,LANG.CAST.PC.OBJ,Cast: Object Pointers,"hierarchyancestor"
CWE:1,Location,LANG.CAST.COERCE,Coercion Alters Value,"hierarchyancestor"
CWE:1,Location,IO.INJ.COMMAND,Command Injection,"hierarchyancestor"
CWE:1,Location,LANG.COMM.TODO,"Comment Suggests CodeUnfinished","hierarchyancestor"
CWE:1,Location,LANG.COMM.CODE,Commented-out Code,"hierarchyancestor"
CWE:1,Location,CONCURRENCY.LOCK.ORDER,Conflicting Lock Order,"hierarchyancestor"
CWE:1,Location,LANG.CAST.PC.FN2DATA,Conversion from Function Pointer,"hierarchyancestor"
CWE:1,Location,LANG.CAST.PC.DATA2FN,Conversion to Function Pointer,"hierarchyancestor"
CWE:1,Location,LANG.CAST.PC.INC,"Conversion: Pointer toIncomplete","hierarchyancestor"
CWE:1,Location,LANG.CAST.PC.INT,Conversion: Pointer/Integer,"hierarchyancestor"
CWE:1,Location,LANG.CAST.PC.PV,"Conversion: Void Pointer toObject Pointer","hierarchyancestor"
CWE:1,Location,LANG.CAST.FN,Dangerous Function Cast,"hierarchyancestor"
CWE:1,Location,CONCURRENCY.DATARACE,Data Race,"hierarchyancestor"
CWE:1,Location,CONCURRENCY.DEADLOCK,Deadlock,"hierarchyancestor"
CWE:1,Location,LANG.ARITH.DIVZERO,Division By Zero,"hierarchyancestor"
