"CategoryID",Category Name,CodeSonar Class Mnemonic,CodeSonar Class Name,"RelationshipType (categoryto class)"
CWE:1,Location,"FB.CORRECTNESS.RE_POSSIBLE_UNINTENDED_PATTERN","""."" used for regular expression","hierarchyancestor"
CWE:1,Location,"FB.CORRECTNESS.ICAST_BAD_SHIFT_AMOUNT","32 bit int shifted by an amountnot in the range -31..31","hierarchyancestor"
CWE:1,Location,"FB.CORRECTNESS.IL_CONTAINER_ADDED_TO_ITSELF",A collection is added to itself,"hierarchyancestor"
CWE:1,Location,"FB.CORRECTNESS.NP_NULL_INSTANCEOF","A known null value is checked tosee if it is an instance of a type","hierarchyancestor"
CWE:1,Location,"FB.CORRECTNESS.IP_PARAMETER_IS_DEAD_BUT_OVERWRITTEN","A parameter is dead upon entryto a method but overwritten","hierarchyancestor"
CWE:1,Location,"FB.SECURITY.SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING","A prepared statement isgenerated from a nonconstantString","hierarchyancestor"
CWE:1,Location,"FB.MT_CORRECTNESS.VO_VOLATILE_REFERENCE_TO_ARRAY","A volatile reference to an arraydoesn't treat the array elementsas volatile","hierarchyancestor"
CWE:1,Location,"FB.BAD_PRACTICE.DMI_ENTRY_SETS_MAY_REUSE_ENTRY_OBJECTS","Adding elements of an entry setmay fail due to reuse of Entryobjects","hierarchyancestor"
CWE:1,Location,"FB.CORRECTNESS.IL_INFINITE_LOOP",An apparent infinite loop,"hierarchyancestor"
CWE:1,Location,"FB.CORRECTNESS.IL_INFINITE_RECURSIVE_LOOP","An apparent infinite recursiveloop","hierarchyancestor"
CWE:1,Location,"FB.MT_CORRECTNESS.VO_VOLATILE_INCREMENT","An increment to a volatile fieldisn't atomic","hierarchyancestor"
CWE:1,Location,"FB.CORRECTNESS.NM_METHOD_CONSTRUCTOR_CONFUSION","Apparent method/constructorconfusion","hierarchyancestor"
CWE:1,Location,"FB.CORRECTNESS.VA_FORMAT_STRING_BAD_CONVERSION_FROM_ARRAY","Array formatted in useless wayusing format string","hierarchyancestor"
CWE:1,Location,"PMD.Design.AssignmentToNonFinalStatic",Assignment To Non Final Static,"hierarchyancestor"
CWE:1,Location,"PMD.Migration.AvoidAssertAsIdentifier",Avoid Assert As Identifier,"hierarchyancestor"
CWE:1,Location,"PMD.Strict-Exceptions.AvoidCatchingGenericException","Avoid Catching GenericException","hierarchyancestor"
CWE:1,Location,"PMD.Strict-Exceptions.AvoidCatchingNPE",Avoid Catching NPE,"hierarchyancestor"
CWE:1,Location,"PMD.Basic.AvoidDecimalLiteralsInBigDecimalConstructor","Avoid Decimal Literals In BigDecimal Constructor","hierarchyancestor"
CWE:1,Location,PMD.Naming.AvoidDollarSigns,Avoid Dollar Signs,"hierarchyancestor"
CWE:1,Location,"PMD.Migration.AvoidEnumAsIdentifier",Avoid Enum As Identifier,"hierarchyancestor"
CWE:1,Location,"PMD.Naming.AvoidFieldNameMatchingMethodName","Avoid Field Name MatchingMethod Name","hierarchyancestor"
CWE:1,Location,"PMD.Naming.AvoidFieldNameMatchingTypeName","Avoid Field Name MatchingType Name","hierarchyancestor"
CWE:1,Location,"PMD.Strict-Exceptions.AvoidThrowingRawExceptionTypes","Avoid Throwing Raw ExceptionTypes","hierarchyancestor"
CWE:1,Location,"PMD.Basic.AvoidUsingHardCodedIP",Avoid Using Hard Coded IP,"hierarchyancestor"
CWE:1,Location,"PMD.Controversial.AvoidUsingNativeCode",Avoid Using Native Code,"hierarchyancestor"
CWE:1,Location,PMD.Design.BadComparison,Bad Comparison,"hierarchyancestor"
CWE:1,Location,"FB.CORRECTNESS.RV_ABSOLUTE_VALUE_OF_HASHCODE","Bad attempt to computeabsolute value of signed 32-bithashcode","hierarchyancestor"
CWE:1,Location,"FB.CORRECTNESS.RV_ABSOLUTE_VALUE_OF_RANDOM_INT","Bad attempt to computeabsolute value of signed randominteger","hierarchyancestor"
CWE:1,Location,"FB.CORRECTNESS.INT_BAD_COMPARISON_WITH_NONNEGATIVE_VALUE","Bad comparison of nonnegativevalue with negative constant","hierarchyancestor"
CWE:1,Location,"FB.CORRECTNESS.DMI_BAD_MONTH",Bad constant value for month,"hierarchyancestor"
CWE:1,Location,"FB.CORRECTNESS.DMI_BIGDECIMAL_CONSTRUCTED_FROM_DOUBLE","BigDecimal constructed fromdouble that isn't representedprecisely","hierarchyancestor"
CWE:1,Location,PMD.Basic.BrokenNullCheck,Broken Null Check,"hierarchyancestor"
CWE:1,Location,"FB.CORRECTNESS.EC_UNRELATED_TYPES","Call to equals() comparingdifferent types","hierarchyancestor"
CWE:1,Location,"FB.CORRECTNESS.EC_UNRELATED_CLASS_AND_INTERFACE","Call to equals() comparingunrelated class and interface","hierarchyancestor"
CWE:1,Location,"FB.CORRECTNESS.EC_NULL_ARG",Call to equals(null),"hierarchyancestor"
CWE:1,Location,"FB.MT_CORRECTNESS.STCAL_INVOKE_ON_STATIC_CALENDAR_INSTANCE",Call to static Calendar,"hierarchyancestor"
CWE:1,Location,"FB.MT_CORRECTNESS.STCAL_INVOKE_ON_STATIC_DATE_FORMAT_INSTANCE",Call to static DateFormat,"hierarchyancestor"
CWE:1,Location,"FB.CORRECTNESS.DMI_ANNOTATION_IS_NOT_VISIBLE_TO_REFLECTION","Cant use reflection to check forpresence of annotation withoutruntime retention","hierarchyancestor"
CWE:1,Location,PMD.Basic.CheckResultSet,Check Result Set,"hierarchyancestor"
CWE:1,Location,PMD.Basic.CheckSkipResult,Check Skip Result,"hierarchyancestor"
CWE:1,Location,"FB.STYLE.IM_BAD_CHECK_FOR_ODD","Check for oddness that won'twork for negative numbers","hierarchyancestor"
CWE:1,Location,FB.CORRECTNESS.BIT_AND_ZZ,Check to see if ((...) & 0) == 0,"hierarchyancestor"
CWE:1,Location,"PMD.Basic.ClassCastExceptionWithToArray","Class Cast Exception With ToArray","hierarchyancestor"
